force,ros_time_sec,ros_time_ns
0.000000,1756181324.275328,1756181324275328619
0.000000,1756181324.277321,1756181324277321328
0.000000,1756181324.279351,1756181324279350901
0.000000,1756181324.281526,1756181324281525917
0.000000,1756181324.283322,1756181324283322230
0.000000,1756181324.285376,1756181324285376335
0.000000,1756181324.287354,1756181324287353997
0.000000,1756181324.289324,1756181324289323669
0.000000,1756181324.291354,1756181324291354417
0.000000,1756181324.293326,1756181324293325631
0.000000,1756181324.295353,1756181324295353154
0.000000,1756181324.297506,1756181324297506347
0.000000,1756181324.299330,1756181324299329521
0.000000,1756181324.301322,1756181324301321752
0.000000,1756181324.303321,1756181324303320656
0.000000,1756181324.305321,1756181324305320417
0.000000,1756181324.307321,1756181324307321350
0.000000,1756181324.309340,1756181324309340434
0.000000,1756181324.311321,1756181324311320459
0.000000,1756181324.313328,1756181324313327834
0.000000,1756181324.315320,1756181324315320013
0.000000,1756181324.317321,1756181324317320659
0.000000,1756181324.319321,1756181324319320493
0.000000,1756181324.321322,1756181324321322349
0.000000,1756181324.323330,1756181324323330189
0.000000,1756181324.325356,1756181324325356641
0.000000,1756181324.327323,1756181324327322604
0.000000,1756181324.329344,1756181324329344216
0.000000,1756181324.331320,1756181324331320440
0.000000,1756181324.333379,1756181324333378442
0.000000,1756181324.335353,1756181324335353361
0.000000,1756181324.337321,1756181324337321000
0.000000,1756181324.339353,1756181324339353160
0.000000,1756181324.341354,1756181324341354262
0.000000,1756181324.343353,1756181324343353079
0.000000,1756181324.345323,1756181324345323334
0.000000,1756181324.347355,1756181324347355282
0.000000,1756181324.349385,1756181324349384671
0.000000,1756181324.351355,1756181324351354741
0.000000,1756181324.353382,1756181324353381607
0.000000,1756181324.355351,1756181324355351239
0.000000,1756181324.357363,1756181324357362893
0.000000,1756181324.359354,1756181324359354063
0.000000,1756181324.361359,1756181324361359289
0.000000,1756181324.363351,1756181324363350416
0.000000,1756181324.365344,1756181324365343675
0.000000,1756181324.367354,1756181324367353717
0.000000,1756181324.369359,1756181324369358571
0.000000,1756181324.371353,1756181324371353268
0.000000,1756181324.373358,1756181324373357782
0.000000,1756181324.375366,1756181324375365612
0.000000,1756181324.377356,1756181324377355595
0.000000,1756181324.379318,1756181324379317715
0.000000,1756181324.381356,1756181324381356213
0.000000,1756181324.383365,1756181324383364889
0.000000,1756181324.385356,1756181324385356625
0.000000,1756181324.387365,1756181324387364810
0.000000,1756181324.389355,1756181324389354983
0.000000,1756181324.391367,1756181324391367458
0.000000,1756181324.393371,1756181324393371007
0.000000,1756181324.395365,1756181324395364816
0.000000,1756181324.397358,1756181324397358152
0.000000,1756181324.399373,1756181324399372646
0.000000,1756181324.401355,1756181324401355128
0.000000,1756181324.403328,1756181324403327924
0.000000,1756181324.405321,1756181324405321223
0.000000,1756181324.407329,1756181324407328663
0.000000,1756181324.409318,1756181324409318169
0.000000,1756181324.411319,1756181324411318975
0.000000,1756181324.413316,1756181324413316162
0.000000,1756181324.415322,1756181324415322353
0.000000,1756181324.417318,1756181324417317812
0.000000,1756181324.419320,1756181324419320208
0.000000,1756181324.421317,1756181324421316528
0.000000,1756181324.423327,1756181324423326696
0.000000,1756181324.425318,1756181324425318348
0.000000,1756181324.427316,1756181324427316419
0.000000,1756181324.429320,1756181324429319881
0.000000,1756181324.431316,1756181324431316227
0.000000,1756181324.433316,1756181324433315782
0.000000,1756181324.435317,1756181324435316360
0.000000,1756181324.437315,1756181324437314756
0.000000,1756181324.439317,1756181324439316459
0.000000,1756181324.441316,1756181324441316468
0.000000,1756181324.443317,1756181324443317047
0.000000,1756181324.445318,1756181324445318407
0.000000,1756181324.447317,1756181324447317206
0.000000,1756181324.449318,1756181324449317884
0.000000,1756181324.451316,1756181324451316207
0.000000,1756181324.453315,1756181324453315646
0.000000,1756181324.455320,1756181324455319548
0.000000,1756181324.457323,1756181324457323297
0.000000,1756181324.459321,1756181324459321622
0.000000,1756181324.461317,1756181324461316723
0.000000,1756181324.463317,1756181324463317109
0.000000,1756181324.465316,1756181324465315629
0.000000,1756181324.467318,1756181324467317401
0.000000,1756181324.469315,1756181324469315248
0.000000,1756181324.471320,1756181324471320217
0.000000,1756181324.473337,1756181324473337435
0.000000,1756181324.475319,1756181324475319090
0.000000,1756181324.477318,1756181324477317969
0.000000,1756181324.479318,1756181324479318213
0.000000,1756181324.481316,1756181324481315557
0.000000,1756181324.483317,1756181324483316752
0.000000,1756181324.485319,1756181324485319396
0.000000,1756181324.487315,1756181324487315252
0.000000,1756181324.489315,1756181324489315433
0.000000,1756181324.491316,1756181324491316098
0.000000,1756181324.493317,1756181324493316970
0.000000,1756181324.495316,1756181324495316100
0.000000,1756181324.497318,1756181324497318034
0.000000,1756181324.499316,1756181324499316545
0.000000,1756181324.501317,1756181324501316726
0.000000,1756181324.503323,1756181324503322702
0.000000,1756181324.505321,1756181324505320632
0.000000,1756181324.507318,1756181324507318431
0.000000,1756181324.509315,1756181324509314921
0.000000,1756181324.511317,1756181324511316826
0.000000,1756181324.513315,1756181324513315434
0.000000,1756181324.515317,1756181324515317114
0.000000,1756181324.517315,1756181324517314582
0.000000,1756181324.519376,1756181324519375800
0.000000,1756181324.521361,1756181324521360977
0.000000,1756181324.523363,1756181324523363138
0.000000,1756181324.525358,1756181324525358108
0.000000,1756181324.527358,1756181324527357813
0.000000,1756181324.529380,1756181324529379821
0.000000,1756181324.531375,1756181324531375209
0.000000,1756181324.533355,1756181324533355524
0.000000,1756181324.535378,1756181324535377557
0.000000,1756181324.537379,1756181324537378892
0.000000,1756181324.539357,1756181324539357150
0.000000,1756181324.541353,1756181324541353055
0.000000,1756181324.543359,1756181324543358623
0.000000,1756181324.545393,1756181324545393502
0.000000,1756181324.547357,1756181324547356592
0.000000,1756181324.549348,1756181324549347457
0.000000,1756181324.551359,1756181324551359414
0.000000,1756181324.553381,1756181324553381044
0.000000,1756181324.555369,1756181324555369118
0.000000,1756181324.557348,1756181324557348039
0.000000,1756181324.559358,1756181324559358353
0.000000,1756181324.561382,1756181324561381618
0.000000,1756181324.563357,1756181324563357245
0.000000,1756181324.565347,1756181324565347231
0.000000,1756181324.567356,1756181324567356399
0.000000,1756181324.569354,1756181324569353539
0.000000,1756181324.571357,1756181324571356662
0.000000,1756181324.573379,1756181324573378858
0.000000,1756181324.575356,1756181324575356057
0.000000,1756181324.577360,1756181324577360239
0.000000,1756181324.579371,1756181324579371495
0.000000,1756181324.581379,1756181324581379332
0.000000,1756181324.583357,1756181324583356752
0.000000,1756181324.585347,1756181324585347369
0.000000,1756181324.587359,1756181324587358628
0.000000,1756181324.589382,1756181324589382205
0.000000,1756181324.591356,1756181324591355555
0.000000,1756181324.593355,1756181324593354989
0.000000,1756181324.595358,1756181324595358066
0.000000,1756181324.597381,1756181324597381366
0.000000,1756181324.599356,1756181324599355866
0.000000,1756181324.601355,1756181324601354782
0.000000,1756181324.603357,1756181324603356660
0.000000,1756181324.605384,1756181324605383732
0.000000,1756181324.607358,1756181324607358590
0.000000,1756181324.609385,1756181324609385343
0.000000,1756181324.611358,1756181324611357859
0.000000,1756181324.613388,1756181324613387854
0.000000,1756181324.615367,1756181324615367343
0.000000,1756181324.617383,1756181324617382802
0.000000,1756181324.619370,1756181324619369691
0.000000,1756181324.621386,1756181324621386093
0.000000,1756181324.623375,1756181324623375055
0.000000,1756181324.625359,1756181324625358748
0.000000,1756181324.627372,1756181324627371746
0.000000,1756181324.629382,1756181324629382392
0.000000,1756181324.631356,1756181324631356101
0.000000,1756181324.633358,1756181324633357607
0.000000,1756181324.635359,1756181324635358816
0.000000,1756181324.637382,1756181324637382249
0.000000,1756181324.639355,1756181324639354790
0.000000,1756181324.641354,1756181324641354106
0.000000,1756181324.643355,1756181324643355097
0.000000,1756181324.645358,1756181324645357927
0.000000,1756181324.647362,1756181324647362434
0.000000,1756181324.649383,1756181324649383207
0.000000,1756181324.651330,1756181324651329936
0.000000,1756181324.653323,1756181324653323161
0.000000,1756181324.655329,1756181324655329232
0.000000,1756181324.657318,1756181324657317900
0.000000,1756181324.659389,1756181324659389564
0.000000,1756181324.661353,1756181324661352882
0.000000,1756181324.663357,1756181324663357242
0.000000,1756181324.665358,1756181324665357993
0.000000,1756181324.667311,1756181324667311059
0.000000,1756181324.669357,1756181324669356764
0.000000,1756181324.671361,1756181324671360764
0.000000,1756181324.673356,1756181324673356245
0.000000,1756181324.675318,1756181324675318193
0.000000,1756181324.677336,1756181324677335805
0.000000,1756181324.679320,1756181324679320144
0.000000,1756181324.681314,1756181324681313548
0.000000,1756181324.683313,1756181324683313070
0.000000,1756181324.685314,1756181324685313770
0.000000,1756181324.687314,1756181324687314221
0.000000,1756181324.689314,1756181324689314017
0.000000,1756181324.691314,1756181324691314166
0.000000,1756181324.693314,1756181324693313424
0.000000,1756181324.695314,1756181324695313824
0.000000,1756181324.697314,1756181324697313597
0.000000,1756181324.699313,1756181324699313176
0.000000,1756181324.701313,1756181324701313509
0.000000,1756181324.703314,1756181324703313580
0.000000,1756181324.705315,1756181324705314509
0.000000,1756181324.707377,1756181324707376695
0.000000,1756181324.709318,1756181324709317950
0.000000,1756181324.711353,1756181324711353155
0.000000,1756181324.713346,1756181324713345984
0.000000,1756181324.715374,1756181324715373989
0.000000,1756181324.717344,1756181324717343551
0.000000,1756181324.719393,1756181324719393059
0.000000,1756181324.721417,1756181324721417423
0.000000,1756181324.723397,1756181324723396947
0.000000,1756181324.725382,1756181324725382217
0.000000,1756181324.727371,1756181324727370738
0.000000,1756181324.729382,1756181324729382232
0.000000,1756181324.731369,1756181324731369123
0.000000,1756181324.733383,1756181324733383410
0.000000,1756181324.735368,1756181324735367927
0.000000,1756181324.737380,1756181324737380028
0.000000,1756181324.739371,1756181324739370458
0.000000,1756181324.741381,1756181324741380715
0.000000,1756181324.743545,1756181324743544513
0.000000,1756181324.745382,1756181324745381739
0.000000,1756181324.747370,1756181324747370132
0.000000,1756181324.749382,1756181324749382355
0.000000,1756181324.751369,1756181324751368969
0.000000,1756181324.753400,1756181324753399611
0.000000,1756181324.755372,1756181324755371746
0.000000,1756181324.757380,1756181324757379735
0.000000,1756181324.759369,1756181324759369171
0.000000,1756181324.761381,1756181324761380725
0.000000,1756181324.763399,1756181324763398651
0.000000,1756181324.765392,1756181324765392222
0.000000,1756181324.767374,1756181324767373520
0.000000,1756181324.769383,1756181324769382904
0.000000,1756181324.771374,1756181324771374146
0.000000,1756181324.773383,1756181324773382665
0.000000,1756181324.775369,1756181324775369061
0.000000,1756181324.777380,1756181324777379968
0.000000,1756181324.779388,1756181324779388051
0.000000,1756181324.781382,1756181324781382339
0.000000,1756181324.783368,1756181324783368299
0.000000,1756181324.785378,1756181324785377808
0.000000,1756181324.787544,1756181324787544557
0.000000,1756181324.789382,1756181324789382197
0.000000,1756181324.791368,1756181324791368245
0.000000,1756181324.793378,1756181324793378016
0.000000,1756181324.795368,1756181324795367949
0.000000,1756181324.797377,1756181324797377353
0.000000,1756181324.799418,1756181324799418095
0.000000,1756181324.801378,1756181324801377876
0.000000,1756181324.803378,1756181324803377850
0.000000,1756181324.805377,1756181324805377326
0.000000,1756181324.807369,1756181324807369151
0.000000,1756181324.809377,1756181324809377513
0.000000,1756181324.811374,1756181324811374191
0.000000,1756181324.813377,1756181324813376807
0.000000,1756181324.815368,1756181324815367967
0.000000,1756181324.817376,1756181324817375929
0.000000,1756181324.819370,1756181324819369441
0.000000,1756181324.821380,1756181324821380009
0.000000,1756181324.823381,1756181324823381088
0.000000,1756181324.825382,1756181324825382297
0.000000,1756181324.827367,1756181324827367307
0.000000,1756181324.829376,1756181324829375920
0.000000,1756181324.831547,1756181324831547479
0.000000,1756181324.833378,1756181324833378151
0.000000,1756181324.835371,1756181324835371492
0.000000,1756181324.837385,1756181324837384704
0.000000,1756181324.839375,1756181324839374938
0.000000,1756181324.841375,1756181324841374834
0.000000,1756181324.843369,1756181324843368581
0.000000,1756181324.845379,1756181324845379289
0.000000,1756181324.847491,1756181324847490714
0.000000,1756181324.849491,1756181324849490604
0.000000,1756181324.851486,1756181324851485858
0.000000,1756181324.853410,1756181324853409594
0.000000,1756181324.855335,1756181324855335122
0.000000,1756181324.857340,1756181324857339942
0.000000,1756181324.859341,1756181324859341081
0.000000,1756181324.861334,1756181324861333579
0.000000,1756181324.863332,1756181324863331496
0.000000,1756181324.865330,1756181324865330427
0.000000,1756181324.867337,1756181324867336325
0.000000,1756181324.869339,1756181324869339411
0.000000,1756181324.871332,1756181324871332161
0.000000,1756181324.873333,1756181324873332831
0.000000,1756181324.875329,1756181324875328931
0.000000,1756181324.877321,1756181324877320829
0.000000,1756181324.879320,1756181324879320406
0.000000,1756181324.881344,1756181324881344286
0.000000,1756181324.883411,1756181324883411002
0.000000,1756181324.885398,1756181324885398314
0.000000,1756181324.887418,1756181324887418335
0.000000,1756181324.889343,1756181324889343277
0.000000,1756181324.891344,1756181324891344306
0.000000,1756181324.893344,1756181324893343947
0.000000,1756181324.895338,1756181324895337517
0.000000,1756181324.897338,1756181324897338356
0.000000,1756181324.899358,1756181324899358173
0.000000,1756181324.901336,1756181324901335805
0.000000,1756181324.903340,1756181324903339954
0.000000,1756181324.905337,1756181324905336766
0.000000,1756181324.907336,1756181324907335334
0.000000,1756181324.909333,1756181324909332889
0.000000,1756181324.911342,1756181324911342212
0.000000,1756181324.913339,1756181324913338805
0.000000,1756181324.915330,1756181324915330198
0.000000,1756181324.917335,1756181324917334901
0.000000,1756181324.919336,1756181324919336280
0.000000,1756181324.921323,1756181324921323380
0.000000,1756181324.923349,1756181324923348616
0.000000,1756181324.925333,1756181324925333237
