force,ros_time_sec,ros_time_ns
0.000000,1756181443.429212,1756181443429212031
0.000000,1756181443.431225,1756181443431224492
0.000000,1756181443.433201,1756181443433201531
0.000000,1756181443.435225,1756181443435225124
0.000000,1756181443.437204,1756181443437203616
0.000000,1756181443.439222,1756181443439221643
0.000000,1756181443.441236,1756181443441235714
0.000000,1756181443.443207,1756181443443206878
0.000000,1756181443.445206,1756181443445206009
0.000000,1756181443.447207,1756181443447206838
0.000000,1756181443.449205,1756181443449204681
0.000000,1756181443.451238,1756181443451238527
0.000000,1756181443.453252,1756181443453252455
0.000000,1756181443.455239,1756181443455238964
0.000000,1756181443.457237,1756181443457237311
0.000000,1756181443.459210,1756181443459210112
0.000000,1756181443.461243,1756181443461243103
0.000000,1756181443.463220,1756181443463219756
0.000000,1756181443.465245,1756181443465245316
0.000000,1756181443.467245,1756181443467245087
0.000000,1756181443.469242,1756181443469241964
0.000000,1756181443.471245,1756181443471245199
0.000000,1756181443.473242,1756181443473242413
0.000000,1756181443.475244,1756181443475243581
0.000000,1756181443.477244,1756181443477244100
0.000000,1756181443.479242,1756181443479242336
0.000000,1756181443.481244,1756181443481243897
0.000000,1756181443.483249,1756181443483248681
0.000000,1756181443.485247,1756181443485246711
0.000000,1756181443.487245,1756181443487245278
0.000000,1756181443.489247,1756181443489246721
0.000000,1756181443.491268,1756181443491268308
0.000000,1756181443.493252,1756181443493252339
0.000000,1756181443.495222,1756181443495222036
0.000000,1756181443.497250,1756181443497249792
0.000000,1756181443.499247,1756181443499247382
0.000000,1756181443.501248,1756181443501248326
0.000000,1756181443.503249,1756181443503248931
0.000000,1756181443.505255,1756181443505255513
0.000000,1756181443.507263,1756181443507262650
0.000000,1756181443.509251,1756181443509251374
0.000000,1756181443.511228,1756181443511228386
0.000000,1756181443.513253,1756181443513252829
0.000000,1756181443.515254,1756181443515254366
0.000000,1756181443.517253,1756181443517252609
0.000000,1756181443.519253,1756181443519252983
0.000000,1756181443.521221,1756181443521221387
