force,ros_time_sec,ros_time_ns
0.000000,1756596771.554860,1756596771554860197
0.000000,1756596771.556866,1756596771556866135
0.000000,1756596771.558853,1756596771558853280
0.000000,1756596771.560858,1756596771560858376
0.000000,1756596771.562844,1756596771562843605
0.000000,1756596771.564904,1756596771564903879
0.000000,1756596771.566903,1756596771566902774
0.000000,1756596771.568845,1756596771568844772
0.000000,1756596771.570937,1756596771570936709
0.000000,1756596771.572896,1756596771572895550
0.000000,1756596771.574902,1756596771574902039
0.000000,1756596771.576900,1756596771576900239
0.000000,1756596771.578888,1756596771578887696
0.000000,1756596771.580904,1756596771580903988
0.000000,1756596771.582948,1756596771582948060
0.000000,1756596771.584911,1756596771584910785
0.000000,1756596771.586920,1756596771586919864
0.000000,1756596771.588857,1756596771588856880
0.000000,1756596771.590868,1756596771590868020
0.000000,1756596771.592908,1756596771592907737
0.000000,1756596771.594944,1756596771594943557
0.000000,1756596771.596911,1756596771596910957
0.000000,1756596771.598938,1756596771598938281
0.000000,1756596771.600918,1756596771600918348
0.000000,1756596771.602895,1756596771602894651
0.000000,1756596771.604915,1756596771604915536
0.000000,1756596771.607039,1756596771607038803
0.000000,1756596771.608917,1756596771608916939
0.000000,1756596771.610945,1756596771610945542
0.000000,1756596771.612923,1756596771612922764
0.000000,1756596771.615024,1756596771615023624
0.000000,1756596771.616926,1756596771616926128
0.000000,1756596771.619061,1756596771619060759
0.000000,1756596771.621047,1756596771621047537
0.000000,1756596771.622976,1756596771622975462
0.000000,1756596771.624980,1756596771624979786
0.000000,1756596771.626925,1756596771626924890
0.000000,1756596771.629047,1756596771629046899
0.000000,1756596771.630923,1756596771630922594
0.000000,1756596771.632940,1756596771632940140
0.000000,1756596771.635049,1756596771635049039
0.000000,1756596771.637062,1756596771637061561
0.000000,1756596771.639056,1756596771639055841
0.000000,1756596771.641067,1756596771641067258
0.000000,1756596771.642954,1756596771642953925
0.000000,1756596771.644957,1756596771644956577
0.000000,1756596771.646910,1756596771646909659
0.000000,1756596771.648938,1756596771648938312
0.000000,1756596771.650928,1756596771650927735
0.000000,1756596771.652927,1756596771652926987
0.000000,1756596771.654917,1756596771654916837
0.000000,1756596771.656913,1756596771656912545
0.000000,1756596771.658913,1756596771658913346
0.000000,1756596771.660899,1756596771660899150
0.000000,1756596771.662898,1756596771662898253
0.000000,1756596771.664921,1756596771664921432
0.000000,1756596771.666902,1756596771666901746
0.000000,1756596771.668905,1756596771668905024
0.000000,1756596771.670900,1756596771670899973
0.000000,1756596771.672901,1756596771672901156
0.000000,1756596771.674898,1756596771674898334
0.000000,1756596771.676897,1756596771676897130
0.000000,1756596771.678837,1756596771678837017
0.000000,1756596771.680886,1756596771680885552
0.000000,1756596771.682880,1756596771682880443
0.000000,1756596771.684947,1756596771684947141
0.000000,1756596771.686871,1756596771686871288
0.000000,1756596771.688887,1756596771688886960
0.000000,1756596771.690899,1756596771690898755
0.000000,1756596771.692894,1756596771692893939
0.000000,1756596771.694877,1756596771694876642
0.000000,1756596771.696884,1756596771696883818
0.000000,1756596771.698882,1756596771698881789
0.000000,1756596771.700880,1756596771700879700
0.000000,1756596771.702875,1756596771702875299
0.000000,1756596771.704875,1756596771704874825
0.000000,1756596771.706875,1756596771706875502
0.000000,1756596771.708886,1756596771708885958
0.000000,1756596771.710888,1756596771710887649
0.000000,1756596771.712871,1756596771712871459
0.000000,1756596771.714873,1756596771714872745
0.000000,1756596771.716883,1756596771716883564
0.000000,1756596771.718874,1756596771718874145
0.000000,1756596771.720900,1756596771720899796
0.000000,1756596771.722874,1756596771722874476
0.000000,1756596771.724886,1756596771724885897
0.000000,1756596771.726876,1756596771726875800
0.000000,1756596771.728876,1756596771728876303
0.000000,1756596771.730945,1756596771730944967
0.000000,1756596771.732951,1756596771732951310
0.000000,1756596771.734919,1756596771734918798
0.000000,1756596771.736861,1756596771736860641
0.000000,1756596771.738926,1756596771738926059
0.000000,1756596771.740880,1756596771740880238
0.000000,1756596771.742878,1756596771742878324
0.000000,1756596771.744877,1756596771744877432
0.000000,1756596771.746877,1756596771746877336
0.000000,1756596771.748877,1756596771748877108
0.000000,1756596771.750882,1756596771750881685
0.000000,1756596771.752879,1756596771752879454
0.000000,1756596771.754880,1756596771754880217
0.000000,1756596771.756879,1756596771756878589
0.000000,1756596771.758878,1756596771758877598
0.000000,1756596771.760875,1756596771760874589
0.000000,1756596771.762878,1756596771762878563
0.000000,1756596771.764878,1756596771764878051
0.000000,1756596771.766880,1756596771766879668
0.000000,1756596771.768874,1756596771768874521
0.000000,1756596771.770880,1756596771770880368
0.000000,1756596771.772879,1756596771772879055
0.000000,1756596771.774879,1756596771774879472
0.000000,1756596771.776910,1756596771776910402
0.000000,1756596771.778864,1756596771778864060
0.000000,1756596771.780923,1756596771780922610
0.000000,1756596771.782932,1756596771782931903
0.000000,1756596771.784999,1756596771784999380
0.000000,1756596771.786809,1756596771786809456
0.000000,1756596771.788835,1756596771788834932
0.000000,1756596771.790830,1756596771790830451
0.000000,1756596771.792830,1756596771792830140
0.000000,1756596771.794829,1756596771794828709
0.000000,1756596771.796830,1756596771796829969
0.000000,1756596771.798829,1756596771798829015
0.000000,1756596771.800830,1756596771800829707
0.000000,1756596771.802829,1756596771802828655
0.000000,1756596771.804830,1756596771804829594
0.000000,1756596771.806828,1756596771806828627
0.000000,1756596771.808830,1756596771808829700
0.000000,1756596771.810829,1756596771810829196
0.000000,1756596771.812830,1756596771812830316
0.000000,1756596771.814829,1756596771814829143
