force,ros_time_sec,ros_time_ns
0.000000,1756596881.937361,1756596881937361080
0.000000,1756596881.939361,1756596881939361150
0.000000,1756596881.941360,1756596881941359809
0.000000,1756596881.943365,1756596881943365238
0.000000,1756596881.945357,1756596881945356473
0.000000,1756596881.947356,1756596881947355609
0.000000,1756596881.949347,1756596881949347159
0.000000,1756596881.951331,1756596881951330717
0.000000,1756596881.953370,1756596881953369987
0.000000,1756596881.955349,1756596881955349432
0.000000,1756596881.957345,1756596881957345421
0.000000,1756596881.959383,1756596881959383218
0.000000,1756596881.961349,1756596881961349213
0.000000,1756596881.963346,1756596881963346486
0.000000,1756596881.965345,1756596881965345374
0.000000,1756596881.967346,1756596881967345933
0.000000,1756596881.969346,1756596881969345505
0.000000,1756596881.971346,1756596881971346435
0.000000,1756596881.973346,1756596881973345449
0.000000,1756596881.975341,1756596881975340738
0.000000,1756596881.977344,1756596881977344040
0.000000,1756596881.979342,1756596881979341806
0.000000,1756596881.981341,1756596881981340796
0.000000,1756596881.983357,1756596881983356657
0.000000,1756596881.985344,1756596881985344211
0.000000,1756596881.987369,1756596881987368775
0.000000,1756596881.989369,1756596881989369019
0.000000,1756596881.991369,1756596881991369297
0.000000,1756596881.993358,1756596881993357853
0.000000,1756596881.995354,1756596881995353588
0.000000,1756596881.997386,1756596881997386565
0.000000,1756596881.999358,1756596881999358201
0.000000,1756596882.001367,1756596882001366460
0.000000,1756596882.003363,1756596882003363067
0.000000,1756596882.005335,1756596882005335106
0.000000,1756596882.007364,1756596882007364100
0.000000,1756596882.009365,1756596882009364616
0.000000,1756596882.011369,1756596882011369367
0.000000,1756596882.013370,1756596882013370230
0.000000,1756596882.015330,1756596882015329730
0.000000,1756596882.017360,1756596882017359900
0.000000,1756596882.019361,1756596882019360819
0.000000,1756596882.021358,1756596882021358435
0.000000,1756596882.023361,1756596882023361576
0.000000,1756596882.025359,1756596882025359044
0.000000,1756596882.027357,1756596882027356661
0.000000,1756596882.029358,1756596882029357898
0.000000,1756596882.031358,1756596882031358033
0.000000,1756596882.033348,1756596882033348091
0.000000,1756596882.035355,1756596882035355246
0.000000,1756596882.037354,1756596882037353817
0.000000,1756596882.039353,1756596882039353096
0.000000,1756596882.041354,1756596882041354481
0.000000,1756596882.043337,1756596882043336625
0.000000,1756596882.045353,1756596882045353272
0.000000,1756596882.047330,1756596882047329824
0.000000,1756596882.049352,1756596882049351789
0.000000,1756596882.051321,1756596882051320599
0.000000,1756596882.053355,1756596882053355409
0.000000,1756596882.055355,1756596882055355293
0.000000,1756596882.057358,1756596882057358381
0.000000,1756596882.059351,1756596882059350971
0.000000,1756596882.061349,1756596882061349160
0.000000,1756596882.063350,1756596882063350612
0.000000,1756596882.065348,1756596882065348324
0.000000,1756596882.067347,1756596882067346837
0.000000,1756596882.069346,1756596882069345968
0.000000,1756596882.071347,1756596882071346377
0.000000,1756596882.073346,1756596882073346330
0.000000,1756596882.075346,1756596882075346173
0.000000,1756596882.077343,1756596882077343463
0.000000,1756596882.079346,1756596882079345989
0.000000,1756596882.081312,1756596882081312401
0.000000,1756596882.083309,1756596882083308858
0.000000,1756596882.085344,1756596882085344163
0.000000,1756596882.087341,1756596882087341130
0.000000,1756596882.089341,1756596882089341246
0.000000,1756596882.091341,1756596882091341415
0.000000,1756596882.093342,1756596882093342256
0.000000,1756596882.095342,1756596882095341796
0.000000,1756596882.097312,1756596882097311663
0.000000,1756596882.099306,1756596882099305723
0.000000,1756596882.101304,1756596882101303724
0.000000,1756596882.103315,1756596882103314719
0.000000,1756596882.105351,1756596882105350971
0.000000,1756596882.107276,1756596882107276279
0.000000,1756596882.109310,1756596882109310154
0.000000,1756596882.111308,1756596882111308136
0.000000,1756596882.113307,1756596882113306637
0.000000,1756596882.115306,1756596882115305867
0.000000,1756596882.117305,1756596882117305373
0.000000,1756596882.119305,1756596882119304960
0.000000,1756596882.121304,1756596882121304154
0.000000,1756596882.123303,1756596882123303513
0.000000,1756596882.125302,1756596882125302013
0.000000,1756596882.127302,1756596882127302379
0.000000,1756596882.129303,1756596882129303319
0.000000,1756596882.131302,1756596882131301597
0.000000,1756596882.133301,1756596882133301577
0.000000,1756596882.135301,1756596882135301389
0.000000,1756596882.137300,1756596882137299887
0.000000,1756596882.139299,1756596882139298622
0.000000,1756596882.141299,1756596882141299573
0.000000,1756596882.143300,1756596882143300083
0.000000,1756596882.145299,1756596882145298814
0.000000,1756596882.147298,1756596882147297418
0.000000,1756596882.149297,1756596882149297012
0.000000,1756596882.151298,1756596882151297875
0.000000,1756596882.153296,1756596882153296240
0.000000,1756596882.155295,1756596882155295557
0.000000,1756596882.157295,1756596882157294890
0.000000,1756596882.159300,1756596882159299658
0.000000,1756596882.161294,1756596882161294375
0.000000,1756596882.163293,1756596882163293390
0.000000,1756596882.165293,1756596882165292851
0.000000,1756596882.167292,1756596882167292296
0.000000,1756596882.169292,1756596882169292443
0.000000,1756596882.171291,1756596882171291110
0.000000,1756596882.173291,1756596882173291012
0.000000,1756596882.175290,1756596882175289734
0.000000,1756596882.177290,1756596882177289707
0.000000,1756596882.179291,1756596882179290499
0.000000,1756596882.181290,1756596882181290161
0.000000,1756596882.183288,1756596882183287457
0.000000,1756596882.185287,1756596882185287273
0.000000,1756596882.187291,1756596882187290529
0.000000,1756596882.189290,1756596882189289365
