force,ros_time_sec,ros_time_ns
0.000000,1756594659.883520,1756594659883520121
0.000000,1756594659.885512,1756594659885512360
0.000000,1756594659.887565,1756594659887565080
0.000000,1756594659.889524,1756594659889524227
0.000000,1756594659.891521,1756594659891521208
0.000000,1756594659.893534,1756594659893534439
0.000000,1756594659.895546,1756594659895546470
0.000000,1756594659.897523,1756594659897522988
0.000000,1756594659.899505,1756594659899504516
0.000000,1756594659.901517,1756594659901517093
0.000000,1756594659.903522,1756594659903522419
0.000000,1756594659.905459,1756594659905458877
0.000000,1756594659.907571,1756594659907571280
0.000000,1756594659.909544,1756594659909543386
0.000000,1756594659.911579,1756594659911578995
0.000000,1756594659.913552,1756594659913551656
0.000000,1756594659.915586,1756594659915586335
0.000000,1756594659.917564,1756594659917564499
0.000000,1756594659.919586,1756594659919586042
0.000000,1756594659.921569,1756594659921568860
0.000000,1756594659.923524,1756594659923523935
0.000000,1756594659.925575,1756594659925575549
0.000000,1756594659.927674,1756594659927673887
0.000000,1756594659.929585,1756594659929584792
0.000000,1756594659.931664,1756594659931663834
0.000000,1756594659.933540,1756594659933540013
0.000000,1756594659.935544,1756594659935544656
0.000000,1756594659.937575,1756594659937575413
0.000000,1756594659.939580,1756594659939579985
0.000000,1756594659.941545,1756594659941544990
0.000000,1756594659.943532,1756594659943531606
0.000000,1756594659.945527,1756594659945527118
0.000000,1756594659.947540,1756594659947539691
0.000000,1756594659.949489,1756594659949489459
0.000000,1756594659.951533,1756594659951532634
0.000000,1756594659.953531,1756594659953531035
0.000000,1756594659.955531,1756594659955530868
0.000000,1756594659.957511,1756594659957511402
0.000000,1756594659.959530,1756594659959530335
0.000000,1756594659.961528,1756594659961528405
0.000000,1756594659.963496,1756594659963495755
0.000000,1756594659.965518,1756594659965518062
0.000000,1756594659.967507,1756594659967506932
0.000000,1756594659.969519,1756594659969518652
0.000000,1756594659.971519,1756594659971519175
0.000000,1756594659.973516,1756594659973515988
0.000000,1756594659.975498,1756594659975497622
0.000000,1756594659.977498,1756594659977497653
0.000000,1756594659.979500,1756594659979500302
0.000000,1756594659.981498,1756594659981498354
0.000000,1756594659.983499,1756594659983498695
0.000000,1756594659.985502,1756594659985501321
0.000000,1756594659.987498,1756594659987497677
0.000000,1756594659.989529,1756594659989528725
0.000000,1756594659.991495,1756594659991494988
0.000000,1756594659.993484,1756594659993484614
0.000000,1756594659.995497,1756594659995496862
0.000000,1756594659.997497,1756594659997496687
0.000000,1756594659.999497,1756594659999496793
0.000000,1756594660.001500,1756594660001499933
0.000000,1756594660.003499,1756594660003499091
0.000000,1756594660.005493,1756594660005493260
0.000000,1756594660.007494,1756594660007493748
0.000000,1756594660.009494,1756594660009493930
0.000000,1756594660.011498,1756594660011498385
0.000000,1756594660.013500,1756594660013499562
0.000000,1756594660.015495,1756594660015494650
0.000000,1756594660.017498,1756594660017498003
0.000000,1756594660.019462,1756594660019461539
0.000000,1756594660.021493,1756594660021492939
0.000000,1756594660.023490,1756594660023490304
0.000000,1756594660.025505,1756594660025504692
0.000000,1756594660.027502,1756594660027501893
0.000000,1756594660.029544,1756594660029544468
0.000000,1756594660.031460,1756594660031460148
0.000000,1756594660.033512,1756594660033511685
0.000000,1756594660.035520,1756594660035520331
0.000000,1756594660.037527,1756594660037526661
0.000000,1756594660.039519,1756594660039518831
0.000000,1756594660.041520,1756594660041519576
0.000000,1756594660.043521,1756594660043520641
0.000000,1756594660.045511,1756594660045510677
0.000000,1756594660.047511,1756594660047510437
0.000000,1756594660.049514,1756594660049513838
0.000000,1756594660.051508,1756594660051508252
0.000000,1756594660.053506,1756594660053506365
0.000000,1756594660.055504,1756594660055503960
0.000000,1756594660.057504,1756594660057503645
0.000000,1756594660.059503,1756594660059502899
0.000000,1756594660.061505,1756594660061505121
0.000000,1756594660.063506,1756594660063506007
0.000000,1756594660.065507,1756594660065506807
0.000000,1756594660.067502,1756594660067501765
0.000000,1756594660.069507,1756594660069506804
0.000000,1756594660.071498,1756594660071498488
0.000000,1756594660.073469,1756594660073469051
0.000000,1756594660.075525,1756594660075525485
0.000000,1756594660.077486,1756594660077486286
0.000000,1756594660.079526,1756594660079525764
0.000000,1756594660.081486,1756594660081485583
0.000000,1756594660.083529,1756594660083528531
0.000000,1756594660.085487,1756594660085487312
0.000000,1756594660.087538,1756594660087538320
0.000000,1756594660.089479,1756594660089479067
0.000000,1756594660.091519,1756594660091518738
0.000000,1756594660.093476,1756594660093475915
0.000000,1756594660.095525,1756594660095524799
0.000000,1756594660.097473,1756594660097472972
0.000000,1756594660.099480,1756594660099479824
0.000000,1756594660.101471,1756594660101470701
0.000000,1756594660.103512,1756594660103511524
0.000000,1756594660.105478,1756594660105477531
0.000000,1756594660.107517,1756594660107517350
0.000000,1756594660.109515,1756594660109515368
0.000000,1756594660.111513,1756594660111513134
0.000000,1756594660.113515,1756594660113515143
0.000000,1756594660.115509,1756594660115508875
0.000000,1756594660.117522,1756594660117521564
0.000000,1756594660.119518,1756594660119518018
0.000000,1756594660.121475,1756594660121475351
0.000000,1756594660.123514,1756594660123513682
0.000000,1756594660.125473,1756594660125472418
0.000000,1756594660.127514,1756594660127514194
0.000000,1756594660.129482,1756594660129481585
