force,ros_time_sec,ros_time_ns
0.000000,1756596585.866077,1756596585866076751
0.000000,1756596585.868083,1756596585868082879
0.000000,1756596585.870077,1756596585870076683
0.000000,1756596585.872083,1756596585872083569
0.000000,1756596585.874035,1756596585874035182
0.000000,1756596585.876095,1756596585876094709
0.000000,1756596585.878035,1756596585878034939
0.000000,1756596585.880093,1756596585880093182
0.000000,1756596585.882067,1756596585882067492
0.000000,1756596585.884069,1756596585884068989
0.000000,1756596585.886065,1756596585886064922
0.000000,1756596585.888064,1756596585888064327
0.000000,1756596585.890073,1756596585890072929
0.000000,1756596585.892068,1756596585892067837
0.000000,1756596585.894095,1756596585894095359
0.000000,1756596585.896071,1756596585896070654
0.000000,1756596585.898103,1756596585898103350
0.000000,1756596585.900081,1756596585900081365
0.000000,1756596585.902126,1756596585902125784
0.000000,1756596585.904084,1756596585904083853
0.000000,1756596585.906038,1756596585906037653
0.000000,1756596585.908087,1756596585908086829
0.000000,1756596585.910055,1756596585910054811
0.000000,1756596585.912062,1756596585912062245
0.000000,1756596585.914064,1756596585914064329
0.000000,1756596585.916065,1756596585916065592
0.000000,1756596585.918077,1756596585918077273
0.000000,1756596585.920059,1756596585920059160
0.000000,1756596585.922036,1756596585922035974
0.000000,1756596585.924060,1756596585924059835
0.000000,1756596585.926040,1756596585926039839
0.000000,1756596585.928071,1756596585928070904
0.000000,1756596585.930068,1756596585930068057
0.000000,1756596585.932086,1756596585932086086
0.000000,1756596585.934012,1756596585934012013
0.000000,1756596585.936085,1756596585936084453
0.000000,1756596585.938033,1756596585938032711
0.000000,1756596585.940059,1756596585940058859
0.000000,1756596585.942048,1756596585942048139
0.000000,1756596585.944068,1756596585944068040
0.000000,1756596585.946038,1756596585946037810
0.000000,1756596585.948062,1756596585948062243
0.000000,1756596585.950033,1756596585950033075
0.000000,1756596585.952054,1756596585952053722
0.000000,1756596585.954013,1756596585954013565
0.000000,1756596585.956057,1756596585956057373
0.000000,1756596585.958037,1756596585958036867
0.000000,1756596585.960069,1756596585960068964
0.000000,1756596585.962065,1756596585962065376
0.000000,1756596585.964069,1756596585964068491
0.000000,1756596585.966034,1756596585966034208
0.000000,1756596585.968097,1756596585968097491
0.000000,1756596585.970034,1756596585970033977
0.000000,1756596585.972072,1756596585972072199
0.000000,1756596585.974043,1756596585974042824
0.000000,1756596585.976076,1756596585976076250
0.000000,1756596585.978050,1756596585978049706
0.000000,1756596585.980081,1756596585980081275
0.000000,1756596585.982044,1756596585982043961
0.000000,1756596585.984080,1756596585984080219
0.000000,1756596585.986040,1756596585986039447
0.000000,1756596585.988081,1756596585988081147
0.000000,1756596585.990057,1756596585990057029
0.000000,1756596585.992085,1756596585992084774
0.000000,1756596585.994073,1756596585994072835
0.000000,1756596585.996074,1756596585996074416
0.000000,1756596585.998065,1756596585998065058
0.000000,1756596586.000078,1756596586000078161
0.000000,1756596586.002048,1756596586002048410
0.000000,1756596586.004085,1756596586004084431
0.000000,1756596586.006051,1756596586006050718
0.000000,1756596586.008075,1756596586008074987
0.000000,1756596586.010053,1756596586010053141
0.000000,1756596586.012077,1756596586012076433
0.000000,1756596586.014039,1756596586014039013
0.000000,1756596586.016083,1756596586016083039
0.000000,1756596586.018049,1756596586018049354
0.000000,1756596586.020068,1756596586020068441
0.000000,1756596586.022045,1756596586022044748
0.000000,1756596586.024072,1756596586024071883
0.000000,1756596586.026066,1756596586026066199
0.000000,1756596586.028082,1756596586028082275
0.000000,1756596586.030049,1756596586030048556
0.000000,1756596586.032069,1756596586032069032
0.000000,1756596586.034050,1756596586034050605
0.000000,1756596586.036044,1756596586036043670
0.000000,1756596586.038027,1756596586038027291
0.000000,1756596586.040029,1756596586040028801
0.000000,1756596586.042071,1756596586042071264
0.000000,1756596586.044070,1756596586044070506
0.000000,1756596586.046039,1756596586046039148
0.000000,1756596586.048072,1756596586048071650
0.000000,1756596586.050045,1756596586050044557
0.000000,1756596586.052038,1756596586052037723
0.000000,1756596586.054041,1756596586054041053
0.000000,1756596586.056067,1756596586056067254
0.000000,1756596586.058048,1756596586058048420
0.000000,1756596586.060084,1756596586060083763
0.000000,1756596586.062067,1756596586062066571
0.000000,1756596586.064072,1756596586064071683
0.000000,1756596586.066059,1756596586066059068
0.000000,1756596586.068070,1756596586068069541
0.000000,1756596586.070052,1756596586070051559
0.000000,1756596586.072061,1756596586072061070
0.000000,1756596586.074041,1756596586074041441
0.000000,1756596586.076062,1756596586076062059
0.000000,1756596586.078044,1756596586078044523
0.000000,1756596586.080070,1756596586080069937
0.000000,1756596586.082022,1756596586082021534
0.000000,1756596586.084023,1756596586084022876
0.000000,1756596586.086028,1756596586086027515
0.000000,1756596586.088071,1756596586088070660
0.000000,1756596586.090065,1756596586090065479
0.000000,1756596586.092049,1756596586092049350
0.000000,1756596586.094054,1756596586094054310
0.000000,1756596586.096070,1756596586096069724
0.000000,1756596586.098044,1756596586098043797
0.000000,1756596586.100017,1756596586100017189
0.000000,1756596586.102067,1756596586102066765
0.000000,1756596586.104023,1756596586104022612
0.000000,1756596586.106028,1756596586106028127
0.000000,1756596586.108024,1756596586108023829
0.000000,1756596586.110077,1756596586110077354
0.000000,1756596586.112058,1756596586112057833
0.000000,1756596586.114046,1756596586114046309
0.000000,1756596586.116060,1756596586116059688
0.000000,1756596586.118048,1756596586118048283
0.000000,1756596586.120057,1756596586120057390
0.000000,1756596586.122047,1756596586122046695
0.000000,1756596586.124072,1756596586124072237
0.000000,1756596586.126048,1756596586126048030
0.000000,1756596586.128035,1756596586128034857
