force,ros_time_sec,ros_time_ns
0.000000,1757302451.820947,1757302451820946991
0.000000,1757302451.822945,1757302451822944835
0.000000,1757302451.824937,1757302451824937295
0.000000,1757302451.826952,1757302451826952275
0.000000,1757302451.828932,1757302451828932028
0.000000,1757302451.830929,1757302451830928862
0.000000,1757302451.832949,1757302451832949042
0.000000,1757302451.834931,1757302451834931146
0.000000,1757302451.836930,1757302451836930170
0.000000,1757302451.838932,1757302451838931754
0.000000,1757302451.840933,1757302451840932567
0.000000,1757302451.842933,1757302451842933278
0.000000,1757302451.844951,1757302451844950920
0.000000,1757302451.846936,1757302451846936056
0.000000,1757302451.848934,1757302451848933553
0.000000,1757302451.850932,1757302451850931811
0.000000,1757302451.852933,1757302451852933237
0.000000,1757302451.854933,1757302451854932395
0.000000,1757302451.856931,1757302451856931163
0.000000,1757302451.858932,1757302451858932505
0.000000,1757302451.860933,1757302451860932638
0.000000,1757302451.862931,1757302451862931291
0.000000,1757302451.864932,1757302451864932291
0.000000,1757302451.866953,1757302451866952621
0.000000,1757302451.868931,1757302451868931199
0.000000,1757302451.870932,1757302451870931946
0.000000,1757302451.872934,1757302451872933972
0.000000,1757302451.874933,1757302451874933026
0.000000,1757302451.876932,1757302451876931816
0.000000,1757302451.878933,1757302451878932720
0.000000,1757302451.880950,1757302451880950390
0.000000,1757302451.882933,1757302451882932634
0.000000,1757302451.884932,1757302451884932357
0.000000,1757302451.886934,1757302451886934012
0.000000,1757302451.888932,1757302451888932460
0.000000,1757302451.890929,1757302451890929352
0.000000,1757302451.892933,1757302451892933049
0.000000,1757302451.894934,1757302451894933716
0.000000,1757302451.896931,1757302451896931301
0.000000,1757302451.898933,1757302451898933164
0.000000,1757302451.900927,1757302451900926700
0.000000,1757302451.902936,1757302451902936173
0.000000,1757302451.904934,1757302451904934515
0.000000,1757302451.906933,1757302451906932409
0.000000,1757302451.908926,1757302451908926313
0.000000,1757302451.910933,1757302451910933327
0.000000,1757302451.912934,1757302451912934268
0.000000,1757302451.914958,1757302451914957584
0.000000,1757302451.916934,1757302451916934020
0.000000,1757302451.918933,1757302451918932814
0.000000,1757302451.920928,1757302451920928068
0.000000,1757302451.922935,1757302451922934635
0.000000,1757302451.924934,1757302451924934496
0.000000,1757302451.926929,1757302451926929195
0.000000,1757302451.928934,1757302451928934105
0.000000,1757302451.930934,1757302451930933692
0.000000,1757302451.932933,1757302451932932668
0.000000,1757302451.934934,1757302451934933683
0.000000,1757302451.936934,1757302451936933810
0.000000,1757302451.938927,1757302451938927127
0.000000,1757302451.940933,1757302451940933393
0.000000,1757302451.942933,1757302451942932795
0.000000,1757302451.944928,1757302451944928027
0.000000,1757302451.946934,1757302451946934097
0.000000,1757302451.948934,1757302451948934122
0.000000,1757302451.950937,1757302451950936460
0.000000,1757302451.952937,1757302451952936711
0.000000,1757302451.954935,1757302451954934595
0.000000,1757302451.956939,1757302451956939055
0.000000,1757302451.958936,1757302451958936175
0.000000,1757302451.960934,1757302451960933683
0.000000,1757302451.962933,1757302451962932673
0.000000,1757302451.964934,1757302451964933907
0.000000,1757302451.966928,1757302451966927509
0.000000,1757302451.968935,1757302451968935085
0.000000,1757302451.970936,1757302451970935832
0.000000,1757302451.972934,1757302451972933835
0.000000,1757302451.974934,1757302451974934156
0.000000,1757302451.976934,1757302451976934295
0.000000,1757302451.978935,1757302451978934993
0.000000,1757302451.980937,1757302451980936683
0.000000,1757302451.982937,1757302451982937137
0.000000,1757302451.984934,1757302451984934477
0.000000,1757302451.986933,1757302451986932967
0.000000,1757302451.988934,1757302451988933942
0.000000,1757302451.990928,1757302451990928182
0.000000,1757302451.992936,1757302451992935896
0.000000,1757302451.994935,1757302451994934739
0.000000,1757302451.996940,1757302451996939773
0.000000,1757302451.998937,1757302451998936473
0.000000,1757302452.000935,1757302452000935299
0.000000,1757302452.002936,1757302452002936192
0.000000,1757302452.004937,1757302452004937308
0.000000,1757302452.006939,1757302452006938988
0.000000,1757302452.008937,1757302452008936657
0.000000,1757302452.010936,1757302452010935991
0.000000,1757302452.012935,1757302452012934673
0.000000,1757302452.014929,1757302452014928778
0.000000,1757302452.016933,1757302452016933296
0.000000,1757302452.018934,1757302452018933687
0.000000,1757302452.020928,1757302452020927669
0.000000,1757302452.022934,1757302452022934249
0.000000,1757302452.024935,1757302452024934629
0.000000,1757302452.026934,1757302452026933843
0.000000,1757302452.028934,1757302452028934516
0.000000,1757302452.030929,1757302452030928958
0.000000,1757302452.032934,1757302452032933955
0.000000,1757302452.034935,1757302452034934533
