force,ros_time_sec,ros_time_ns
0.000000,1757301995.209801,1757301995209801396
0.000000,1757301995.211805,1757301995211804903
0.000000,1757301995.213797,1757301995213796934
0.000000,1757301995.215796,1757301995215795638
0.000000,1757301995.217825,1757301995217824962
0.000000,1757301995.219767,1757301995219766744
0.000000,1757301995.221792,1757301995221792182
0.000000,1757301995.223901,1757301995223901177
0.000000,1757301995.225795,1757301995225794562
0.000000,1757301995.227772,1757301995227771641
0.000000,1757301995.229828,1757301995229828451
0.000000,1757301995.231791,1757301995231790661
0.000000,1757301995.233826,1757301995233825873
0.000000,1757301995.235797,1757301995235796648
0.000000,1757301995.237828,1757301995237828170
0.000000,1757301995.239778,1757301995239777511
0.000000,1757301995.241797,1757301995241797201
0.000000,1757301995.243766,1757301995243765516
0.000000,1757301995.245838,1757301995245838354
0.000000,1757301995.247811,1757301995247810522
0.000000,1757301995.249834,1757301995249833738
0.000000,1757301995.251773,1757301995251773563
0.000000,1757301995.253827,1757301995253826768
0.000000,1757301995.255790,1757301995255790074
0.000000,1757301995.257828,1757301995257828359
0.000000,1757301995.259775,1757301995259774661
0.000000,1757301995.261797,1757301995261797377
0.000000,1757301995.263804,1757301995263804472
0.000000,1757301995.265795,1757301995265795115
0.000000,1757301995.267790,1757301995267790166
0.000000,1757301995.269819,1757301995269819276
0.000000,1757301995.271774,1757301995271773930
0.000000,1757301995.273794,1757301995273794375
0.000000,1757301995.275791,1757301995275790871
0.000000,1757301995.277826,1757301995277826074
0.000000,1757301995.279790,1757301995279790178
0.000000,1757301995.281827,1757301995281826931
0.000000,1757301995.283773,1757301995283773126
0.000000,1757301995.285835,1757301995285834829
0.000000,1757301995.287793,1757301995287792580
0.000000,1757301995.289829,1757301995289828978
0.000000,1757301995.291790,1757301995291790114
0.000000,1757301995.293829,1757301995293829478
0.000000,1757301995.295798,1757301995295797652
0.000000,1757301995.297829,1757301995297828710
0.000000,1757301995.299799,1757301995299799094
0.000000,1757301995.301830,1757301995301829933
0.000000,1757301995.303742,1757301995303742064
0.000000,1757301995.305798,1757301995305797893
0.000000,1757301995.307806,1757301995307805690
0.000000,1757301995.309824,1757301995309824398
0.000000,1757301995.311776,1757301995311775959
0.000000,1757301995.313798,1757301995313797995
0.000000,1757301995.315788,1757301995315788250
0.000000,1757301995.317832,1757301995317831638
0.000000,1757301995.319783,1757301995319783020
0.000000,1757301995.321807,1757301995321807238
0.000000,1757301995.323795,1757301995323795236
0.000000,1757301995.325801,1757301995325800726
0.000000,1757301995.327790,1757301995327789838
0.000000,1757301995.329832,1757301995329832223
0.000000,1757301995.331786,1757301995331786153
0.000000,1757301995.333832,1757301995333832170
0.000000,1757301995.335797,1757301995335797332
0.000000,1757301995.337832,1757301995337831865
0.000000,1757301995.339787,1757301995339787606
0.000000,1757301995.341836,1757301995341836546
0.000000,1757301995.343788,1757301995343788127
0.000000,1757301995.345833,1757301995345833141
0.000000,1757301995.347794,1757301995347793743
0.000000,1757301995.349834,1757301995349834446
0.000000,1757301995.351783,1757301995351783048
0.000000,1757301995.353828,1757301995353828219
0.000000,1757301995.355775,1757301995355775214
0.000000,1757301995.357829,1757301995357828666
0.000000,1757301995.359797,1757301995359796571
0.000000,1757301995.361804,1757301995361804389
0.000000,1757301995.363800,1757301995363799821
0.000000,1757301995.365801,1757301995365800588
0.000000,1757301995.367796,1757301995367795639
0.000000,1757301995.369795,1757301995369794615
0.000000,1757301995.371798,1757301995371797878
0.000000,1757301995.373808,1757301995373807586
0.000000,1757301995.375795,1757301995375795263
0.000000,1757301995.377795,1757301995377794490
0.000000,1757301995.379795,1757301995379795305
0.000000,1757301995.381794,1757301995381793926
0.000000,1757301995.383794,1757301995383793981
0.000000,1757301995.385795,1757301995385794679
0.000000,1757301995.387803,1757301995387802658
0.000000,1757301995.389794,1757301995389794034
0.000000,1757301995.391795,1757301995391795339
0.000000,1757301995.393795,1757301995393794664
0.000000,1757301995.395794,1757301995395793983
0.000000,1757301995.397794,1757301995397794554
0.000000,1757301995.399798,1757301995399798087
0.000000,1757301995.401795,1757301995401795247
0.000000,1757301995.403796,1757301995403796508
0.000000,1757301995.405797,1757301995405796528
0.000000,1757301995.407800,1757301995407800346
0.000000,1757301995.409795,1757301995409794952
0.000000,1757301995.411797,1757301995411796617
0.000000,1757301995.413796,1757301995413795939
0.000000,1757301995.415797,1757301995415796870
0.000000,1757301995.417796,1757301995417796425
0.000000,1757301995.419796,1757301995419795937
0.000000,1757301995.421796,1757301995421795658
0.000000,1757301995.423795,1757301995423794798
0.000000,1757301995.425800,1757301995425800112
0.000000,1757301995.427795,1757301995427795301
0.000000,1757301995.429802,1757301995429802256
0.000000,1757301995.431797,1757301995431796723
0.000000,1757301995.433800,1757301995433800374
0.000000,1757301995.435798,1757301995435798113
0.000000,1757301995.437796,1757301995437796068
0.000000,1757301995.439796,1757301995439795804
0.000000,1757301995.441797,1757301995441796822
